openalex_id,display_name,country_code,type,works_count
https://openalex.org/I185443292,Wayne State University,US,education,121175
https://openalex.org/I76835614,University of Missouri,US,education,120881
https://openalex.org/I146399215,University of Tsukuba,JP,education,120603
https://openalex.org/I43406934,Université Laval,CA,education,120184
https://openalex.org/I161046081,University of Freiburg,DE,education,119239
https://openalex.org/I21250087,Charles University,CZ,education,119176
https://openalex.org/I110200422,Universidade Federal de Minas Gerais,BR,education,119149
https://openalex.org/I197323543,Johannes Gutenberg University Mainz,DE,education,118942
https://openalex.org/I1289243028,Oak Ridge National Laboratory,US,facility,118807
https://openalex.org/I45084792,University of Florence,IT,education,118789
https://openalex.org/I39555362,University of Warwick,GB,education,118629
https://openalex.org/I154130895,University of Auckland,NZ,education,118166
https://openalex.org/I63135867,University of Cincinnati,US,education,117333
https://openalex.org/I148366613,National Yang Ming Chiao Tung University,TW,education,117216
https://openalex.org/I196272386,Providence College,US,education,117016
https://openalex.org/I74656192,University of Göttingen,DE,education,115451
https://openalex.org/I102335020,Karlsruhe Institute of Technology,DE,education,115288
https://openalex.org/I150229711,University of Electronic Science and Technology of China,CN,education,115125
https://openalex.org/I881427289,University of Gothenburg,SE,education,115075
https://openalex.org/I55143463,University of Turin,IT,education,114513
https://openalex.org/I108290504,University of Pisa,IT,education,113787
https://openalex.org/I78650965,TU Dresden,DE,education,113280
https://openalex.org/I4210117220,Barro Colorado Island,PA,facility,113203
https://openalex.org/I27357992,Dalian University of Technology,CN,education,113178
https://openalex.org/I126744593,"University of Maryland, Baltimore",US,education,112481
https://openalex.org/I121797337,Leiden University,NL,education,112343
https://openalex.org/I28022161,King Saud University,SA,education,112261
https://openalex.org/I17145004,Northwestern Polytechnical University,CN,education,111352
https://openalex.org/I182534213,Universidade do Porto,PT,education,111017
https://openalex.org/I59553526,Stony Brook University,US,education,110891
https://openalex.org/I125839683,Beijing Institute of Technology,CN,education,110499
https://openalex.org/I121820613,Louisiana State University,US,education,110318
https://openalex.org/I200777214,National and Kapodistrian University of Athens,GR,education,110206
https://openalex.org/I180923762,University of Cologne,DE,education,109993
https://openalex.org/I2613432,University of South Florida,US,education,109715
https://openalex.org/I166337079,Queen Mary University of London,GB,education,109601
https://openalex.org/I848706,Sungkyunkwan University,KR,education,109542
https://openalex.org/I158842170,Chongqing University,CN,education,109417
https://openalex.org/I114457229,University of Geneva,CH,education,108456
https://openalex.org/I183519381,Capital Medical University,CN,education,107893
https://openalex.org/I140172145,University of Connecticut,US,education,107768
https://openalex.org/I24603500,University of Massachusetts Amherst,US,education,107678
https://openalex.org/I92446798,Colorado State University,US,education,107291
https://openalex.org/I16097986,Universitat de València,ES,education,107199
https://openalex.org/I4210097159,Assistance Publique – Hôpitaux de Paris,FR,healthcare,106492
https://openalex.org/I899635006,Université Grenoble Alpes,FR,education,106139
https://openalex.org/I21491767,Aix-Marseille Université,FR,education,106123
https://openalex.org/I204722609,Queen's University,CA,education,106099
https://openalex.org/I203951103,Keio University,JP,education,106084
https://openalex.org/I79510175,Cardiff University,GB,education,105802
https://openalex.org/I4210140884,National Cancer Institute,US,government,105191
https://openalex.org/I96673099,Technical University of Denmark,DK,education,104762
https://openalex.org/I174306211,Technion – Israel Institute of Technology,IL,education,104587
https://openalex.org/I22465464,University of Münster,DE,education,104335
https://openalex.org/I23946033,University of Tehran,IR,education,104253
