openalex_id,display_name,country_code,type,works_count,cited_by_count,ror_id,homepage_url,image_url
https://openalex.org/I4210087915,Massachusetts General Hospital,US,healthcare,211806,11626822,https://ror.org/002pd6e78,http://www.massgeneral.org/,https://upload.wikimedia.org/wikipedia/commons/6/6e/Massachusetts_General_Hospital_main_entrance.jpg
https://openalex.org/I139264467,Seoul National University,KR,education,210625,5623766,https://ror.org/04h9pn542,https://www.snu.ac.kr,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Seoul%20national%20university%20logotype.svg
https://openalex.org/I135598925,Kyushu University,JP,education,206969,4043035,https://ror.org/00p4k0j84,http://www.kyushu-u.ac.jp/english/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/KyushuUniversity%20Logo.svg
https://openalex.org/I183935753,King's College London,GB,education,204771,7229530,https://ror.org/0220mzb33,http://www.kcl.ac.uk/index.aspx,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Kcl-logo.svg
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,DE,education,203654,6788631,https://ror.org/05591te55,https://www.lmu.de,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/LMU%20Muenchen%20Logo.svg
https://openalex.org/I24185976,Sichuan University,CN,education,202413,3329959,https://ror.org/011ashp19,https://scu.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Scuhuaxi.jpg
https://openalex.org/I157674565,University of Liège,BE,education,199186,2555828,https://ror.org/00afp2z80,https://www.uliege.be,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Li%C3%A8ge%20logo.svg
https://openalex.org/I150468666,Emory University,US,education,197963,8100097,https://ror.org/03czfpz43,https://www.emory.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Candler%20School%20of%20Theology.JPG
https://openalex.org/I887064364,University of Amsterdam,NL,education,197950,7933447,https://ror.org/04dkp9463,https://www.uva.nl,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Uva%C2%AEmerken%20ENG.png
https://openalex.org/I8961855,Universidad Nacional Autónoma de México,MX,education,197914,2895332,https://ror.org/01tmp8f25,http://www.unam.mx,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Escudo-UNAM-escalable.svg
https://openalex.org/I187531555,Lund University,SE,education,196584,7411535,https://ror.org/012a77v79,https://www.lu.se,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Logotyp%20Lunds%20universitet%20%28vit%29.png
https://openalex.org/I28166907,Karolinska Institutet,SE,education,196453,8983732,https://ror.org/056d84691,https://ki.se,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Karolinska%20Institutet%2C%20infart%20fr%C3%A5n%20Solnav%C3%A4gen%2020060723.jpg
https://openalex.org/I223532165,University of Utah,US,education,195907,7217750,https://ror.org/03r0ha626,https://www.utah.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Utah%20horizontal%20logo.svg
https://openalex.org/I35440088,ETH Zurich,CH,education,194167,7699996,https://ror.org/05a28rw58,https://ethz.ch,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/ETH%20Z%C3%BCrich%20wordmark.svg
https://openalex.org/I139660479,Central South University,CN,education,192038,3176879,https://ror.org/00f1zfq44,https://www.csu.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Zhongnandaxue.jpg
